genres,sentiment,count
"Action & Adventure, Art House & International",0,162
"Action & Adventure, Art House & International",1,492
"Action & Adventure, Art House & International, Classics",1,3
"Action & Adventure, Art House & International, Classics, Comedy",1,10
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",1,4
"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama",0,1
"Action & Adventure, Art House & International, Classics, Drama",0,29
"Action & Adventure, Art House & International, Classics, Drama",1,362
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",0,1
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",1,16
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",0,7
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",1,63
"Action & Adventure, Art House & International, Classics, Drama, Romance",0,23
"Action & Adventure, Art House & International, Classics, Drama, Romance",1,42
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",1,83
"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",0,2
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",0,2
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",1,2
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",1,10
"Action & Adventure, Art House & International, Classics, Western",0,11
"Action & Adventure, Art House & International, Classics, Western",1,51
"Action & Adventure, Art House & International, Comedy",0,61
"Action & Adventure, Art House & International, Comedy",1,265
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",0,34
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",1,91
"Action & Adventure, Art House & International, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",0,2
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",0,5
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",1,1
"Action & Adventure, Art House & International, Comedy, Drama",0,35
"Action & Adventure, Art House & International, Comedy, Drama",1,52
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",0,1
"Action & Adventure, Art House & International, Comedy, Drama, Horror",0,12
"Action & Adventure, Art House & International, Comedy, Drama, Horror",1,100
"Action & Adventure, Art House & International, Comedy, Drama, Kids & Family",0,1
"Action & Adventure, Art House & International, Comedy, Drama, Kids & Family",1,4
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",0,2
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",1,2
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",1,7
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",0,63
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",1,116
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",0,7
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",1,60
"Action & Adventure, Art House & International, Comedy, Drama, Romance",0,10
"Action & Adventure, Art House & International, Comedy, Drama, Romance",1,113
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",0,2
"Action & Adventure, Art House & International, Comedy, Horror",0,25
"Action & Adventure, Art House & International, Comedy, Horror",1,50
"Action & Adventure, Art House & International, Comedy, Kids & Family",0,1
"Action & Adventure, Art House & International, Comedy, Kids & Family",1,1
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",1,12
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",0,7
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",1,37
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",0,4
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",1,4
"Action & Adventure, Art House & International, Comedy, Romance",0,5
"Action & Adventure, Art House & International, Comedy, Romance",1,16
"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Comedy, Special Interest",0,13
"Action & Adventure, Art House & International, Cult Movies, Drama",1,3
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",1,3
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",0,19
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",1,6
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",0,1
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",1,17
"Action & Adventure, Art House & International, Documentary, Horror",1,1
"Action & Adventure, Art House & International, Documentary, Special Interest",0,2
"Action & Adventure, Art House & International, Documentary, Special Interest",1,7
"Action & Adventure, Art House & International, Documentary, Television",0,8
"Action & Adventure, Art House & International, Documentary, Television",1,2
"Action & Adventure, Art House & International, Drama",0,433
"Action & Adventure, Art House & International, Drama",1,1605
"Action & Adventure, Art House & International, Drama, Faith & Spirituality",1,1
"Action & Adventure, Art House & International, Drama, Horror",0,10
"Action & Adventure, Art House & International, Drama, Horror",1,5
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",0,34
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",1,66
"Action & Adventure, Art House & International, Drama, Kids & Family",0,2
"Action & Adventure, Art House & International, Drama, Kids & Family",1,4
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",0,149
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",1,569
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",0,33
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",1,98
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",0,1
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",1,21
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",0,3
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",1,31
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",0,2
