genres,sentiment,count
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest",Neutral,3
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest",Positive,7
"Action & Adventure, Animation, Horror, Kids & Family",Negative,4
"Action & Adventure, Animation, Horror, Kids & Family",Positive,4
"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Negative,30
"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Neutral,20
"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Positive,32
"Action & Adventure, Animation, Kids & Family",Negative,542
"Action & Adventure, Animation, Kids & Family",Neutral,473
"Action & Adventure, Animation, Kids & Family",Positive,2722
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",Negative,1
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",Positive,4
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Negative,9
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Neutral,6
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Positive,41
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Negative,4
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Neutral,6
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",Negative,3
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",Neutral,7
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",Positive,18
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",Negative,3
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",Neutral,2
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",Positive,13
"Action & Adventure, Animation, Kids & Family, Romance",Negative,38
"Action & Adventure, Animation, Kids & Family, Romance",Neutral,40
"Action & Adventure, Animation, Kids & Family, Romance",Positive,170
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Negative,356
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Neutral,330
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Positive,2148
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",Negative,4
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",Positive,4
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",Negative,17
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",Neutral,16
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",Positive,28
"Action & Adventure, Animation, Kids & Family, Special Interest",Negative,5
"Action & Adventure, Animation, Kids & Family, Special Interest",Neutral,9
"Action & Adventure, Animation, Kids & Family, Special Interest",Positive,13
"Action & Adventure, Animation, Kids & Family, Western",Negative,1
"Action & Adventure, Animation, Kids & Family, Western",Neutral,1
"Action & Adventure, Animation, Kids & Family, Western",Positive,5
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Negative,40
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Neutral,14
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Positive,94
"Action & Adventure, Animation, Science Fiction & Fantasy",Negative,281
"Action & Adventure, Animation, Science Fiction & Fantasy",Neutral,177
"Action & Adventure, Animation, Science Fiction & Fantasy",Positive,901
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Negative,3
