genres,review_type,count
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Rotten,6
"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama",Fresh,5
"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama",Rotten,1
"Action & Adventure, Art House & International, Classics, Drama",Fresh,804
"Action & Adventure, Art House & International, Classics, Drama",Rotten,88
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",Fresh,27
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",Rotten,1
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Fresh,109
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Rotten,17
"Action & Adventure, Art House & International, Classics, Drama, Romance",Fresh,63
"Action & Adventure, Art House & International, Classics, Drama, Romance",Rotten,45
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Fresh,210
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Rotten,12
"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Rotten,3
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Fresh,7
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Rotten,9
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",Fresh,20
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",Rotten,2
"Action & Adventure, Art House & International, Classics, Western",Fresh,88
"Action & Adventure, Art House & International, Classics, Western",Rotten,29
"Action & Adventure, Art House & International, Comedy",Fresh,593
"Action & Adventure, Art House & International, Comedy",Rotten,155
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Fresh,260
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Rotten,126
"Action & Adventure, Art House & International, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Rotten,3
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",Fresh,7
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",Rotten,6
"Action & Adventure, Art House & International, Comedy, Drama",Fresh,88
"Action & Adventure, Art House & International, Comedy, Drama",Rotten,70
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",Fresh,2
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",Rotten,2
"Action & Adventure, Art House & International, Comedy, Drama, Horror",Fresh,162
"Action & Adventure, Art House & International, Comedy, Drama, Horror",Rotten,23
"Action & Adventure, Art House & International, Comedy, Drama, Kids & Family",Fresh,5
"Action & Adventure, Art House & International, Comedy, Drama, Kids & Family",Rotten,1
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",Fresh,4
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",Rotten,4
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",Fresh,9
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",Rotten,2
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Fresh,223
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Rotten,182
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Fresh,188
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Rotten,22
"Action & Adventure, Art House & International, Comedy, Drama, Romance",Fresh,188
"Action & Adventure, Art House & International, Comedy, Drama, Romance",Rotten,26
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",Fresh,1
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",Rotten,4
"Action & Adventure, Art House & International, Comedy, Horror",Fresh,105
"Action & Adventure, Art House & International, Comedy, Horror",Rotten,44
"Action & Adventure, Art House & International, Comedy, Kids & Family",Fresh,1
"Action & Adventure, Art House & International, Comedy, Kids & Family",Rotten,2
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",Fresh,38
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",Rotten,4
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",Fresh,60
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",Rotten,16
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Fresh,9
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Rotten,7
"Action & Adventure, Art House & International, Comedy, Romance",Fresh,37
"Action & Adventure, Art House & International, Comedy, Romance",Rotten,7
"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",Fresh,1
"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",Rotten,4
"Action & Adventure, Art House & International, Comedy, Special Interest",Fresh,2
"Action & Adventure, Art House & International, Comedy, Special Interest",Rotten,23
"Action & Adventure, Art House & International, Cult Movies, Drama",Fresh,6
"Action & Adventure, Art House & International, Cult Movies, Drama",Rotten,1
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Fresh,3
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Rotten,3
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",Fresh,9
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",Rotten,29
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",Fresh,21
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",Rotten,3
"Action & Adventure, Art House & International, Documentary, Horror",Fresh,4
"Action & Adventure, Art House & International, Documentary, Horror",Rotten,1
"Action & Adventure, Art House & International, Documentary, Special Interest",Fresh,11
"Action & Adventure, Art House & International, Documentary, Special Interest",Rotten,4
"Action & Adventure, Art House & International, Documentary, Television",Fresh,8
"Action & Adventure, Art House & International, Documentary, Television",Rotten,24
"Action & Adventure, Art House & International, Drama",Fresh,2907
"Action & Adventure, Art House & International, Drama",Rotten,951
"Action & Adventure, Art House & International, Drama, Faith & Spirituality",Fresh,3
"Action & Adventure, Art House & International, Drama, Faith & Spirituality",Rotten,1
"Action & Adventure, Art House & International, Drama, Horror",Fresh,9
"Action & Adventure, Art House & International, Drama, Horror",Rotten,15
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Fresh,100
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Rotten,62
"Action & Adventure, Art House & International, Drama, Kids & Family",Fresh,9
"Action & Adventure, Art House & International, Drama, Kids & Family",Rotten,2
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Fresh,1092
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Rotten,332
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Fresh,136
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Rotten,80
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Fresh,40
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Rotten,1
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",Fresh,46
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",Rotten,6
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",Fresh,7
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",Rotten,3
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",Fresh,108
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",Rotten,28
"Action & Adventure, Art House & International, Drama, Romance",Fresh,237
"Action & Adventure, Art House & International, Drama, Romance",Rotten,53
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Fresh,373
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Rotten,189
"Action & Adventure, Art House & International, Drama, Special Interest",Fresh,171
"Action & Adventure, Art House & International, Drama, Special Interest",Rotten,72
"Action & Adventure, Art House & International, Drama, Sports & Fitness",Fresh,27
"Action & Adventure, Art House & International, Drama, Sports & Fitness",Rotten,1
"Action & Adventure, Art House & International, Drama, Western",Fresh,4
"Action & Adventure, Art House & International, Drama, Western",Rotten,8
"Action & Adventure, Art House & International, Drama, Western, Romance",Fresh,46
"Action & Adventure, Art House & International, Drama, Western, Romance",Rotten,14
"Action & Adventure, Art House & International, Horror",Fresh,12
"Action & Adventure, Art House & International, Horror",Rotten,10
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",Fresh,3
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",Rotten,2
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Fresh,125
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Rotten,21
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Fresh,6
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Rotten,5
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Fresh,144
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Rotten,89
"Action & Adventure, Art House & International, Kids & Family",Fresh,20
"Action & Adventure, Art House & International, Kids & Family",Rotten,3
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Fresh,17
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Rotten,6
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",Fresh,10
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",Rotten,34
"Action & Adventure, Art House & International, Mystery & Suspense",Fresh,584
"Action & Adventure, Art House & International, Mystery & Suspense",Rotten,261
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Fresh,72
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",Rotten,23
"Action & Adventure, Art House & International, Science Fiction & Fantasy",Fresh,306
"Action & Adventure, Art House & International, Science Fiction & Fantasy",Rotten,83
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",Fresh,10
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",Rotten,4
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Special Interest, Western",Fresh,13
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Special Interest, Western",Rotten,29
"Action & Adventure, Art House & International, Western",Fresh,54
"Action & Adventure, Art House & International, Western",Rotten,19
"Action & Adventure, Classics",Fresh,229
"Action & Adventure, Classics",Rotten,113
"Action & Adventure, Classics, Comedy",Fresh,116
"Action & Adventure, Classics, Comedy",Rotten,32
"Action & Adventure, Classics, Comedy, Cult Movies, Science Fiction & Fantasy",Fresh,1
"Action & Adventure, Classics, Comedy, Cult Movies, Science Fiction & Fantasy",Rotten,1
"Action & Adventure, Classics, Comedy, Documentary, Drama, Musical & Performing Arts",Fresh,9
"Action & Adventure, Classics, Comedy, Documentary, Drama, Musical & Performing Arts",Rotten,1
"Action & Adventure, Classics, Comedy, Drama",Fresh,156
"Action & Adventure, Classics, Comedy, Drama",Rotten,37
"Action & Adventure, Classics, Comedy, Drama, Kids & Family, Special Interest",Fresh,21
"Action & Adventure, Classics, Comedy, Drama, Kids & Family, Special Interest",Rotten,1
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts",Fresh,14
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts",Rotten,2
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense",Fresh,3
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense",Rotten,1
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Fresh,3
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Rotten,8
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Western, Romance",Fresh,6
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Western, Romance",Rotten,2
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",Fresh,61
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",Rotten,18
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense, Romance",Fresh,46
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense, Romance",Rotten,6
"Action & Adventure, Classics, Comedy, Drama, Romance",Fresh,68
"Action & Adventure, Classics, Comedy, Drama, Romance",Rotten,8
"Action & Adventure, Classics, Comedy, Horror",Fresh,8
"Action & Adventure, Classics, Comedy, Horror",Rotten,9
"Action & Adventure, Classics, Comedy, Kids & Family",Fresh,28
"Action & Adventure, Classics, Comedy, Kids & Family",Rotten,3
"Action & Adventure, Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Fresh,4
"Action & Adventure, Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Rotten,12
"Action & Adventure, Classics, Comedy, Kids & Family, Romance",Fresh,12
"Action & Adventure, Classics, Comedy, Kids & Family, Romance",Rotten,3
"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Fresh,53
"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Rotten,8
"Action & Adventure, Classics, Comedy, Musical & Performing Arts",Fresh,7
"Action & Adventure, Classics, Comedy, Musical & Performing Arts",Rotten,1
"Action & Adventure, Classics, Comedy, Musical & Performing Arts, Romance",Fresh,8
"Action & Adventure, Classics, Comedy, Musical & Performing Arts, Romance",Rotten,1
"Action & Adventure, Classics, Comedy, Mystery & Suspense",Fresh,22
"Action & Adventure, Classics, Comedy, Mystery & Suspense",Rotten,8
"Action & Adventure, Classics, Comedy, Romance",Fresh,23
"Action & Adventure, Classics, Comedy, Romance",Rotten,6
"Action & Adventure, Classics, Comedy, Science Fiction & Fantasy",Fresh,2
"Action & Adventure, Classics, Comedy, Science Fiction & Fantasy",Rotten,1
"Action & Adventure, Classics, Comedy, Western",Fresh,16
"Action & Adventure, Classics, Comedy, Western",Rotten,7
"Action & Adventure, Classics, Comedy, Western, Romance",Fresh,15
"Action & Adventure, Classics, Comedy, Western, Romance",Rotten,2
"Action & Adventure, Classics, Cult Movies",Fresh,14
"Action & Adventure, Classics, Cult Movies",Rotten,12
"Action & Adventure, Classics, Cult Movies, Drama",Fresh,20
"Action & Adventure, Classics, Cult Movies, Drama",Rotten,9
"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense",Fresh,45
"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense",Rotten,1
"Action & Adventure, Classics, Cult Movies, Drama, Special Interest",Fresh,7
"Action & Adventure, Classics, Cult Movies, Drama, Special Interest",Rotten,3
"Action & Adventure, Classics, Cult Movies, Horror, Science Fiction & Fantasy",Rotten,5
"Action & Adventure, Classics, Documentary, Drama",Fresh,4
"Action & Adventure, Classics, Documentary, Drama",Rotten,5
"Action & Adventure, Classics, Drama",Fresh,1839
"Action & Adventure, Classics, Drama",Rotten,994
"Action & Adventure, Classics, Drama, Horror, Science Fiction & Fantasy",Fresh,5
"Action & Adventure, Classics, Drama, Horror, Science Fiction & Fantasy",Rotten,2
"Action & Adventure, Classics, Drama, Kids & Family",Fresh,57
"Action & Adventure, Classics, Drama, Kids & Family",Rotten,4
"Action & Adventure, Classics, Drama, Kids & Family, Television",Fresh,2
"Action & Adventure, Classics, Drama, Kids & Family, Western",Fresh,21
"Action & Adventure, Classics, Drama, Kids & Family, Western",Rotten,4
"Action & Adventure, Classics, Drama, Musical & Performing Arts",Fresh,26
"Action & Adventure, Classics, Drama, Musical & Performing Arts, Western",Fresh,43
"Action & Adventure, Classics, Drama, Musical & Performing Arts, Western",Rotten,4
"Action & Adventure, Classics, Drama, Mystery & Suspense",Fresh,301
"Action & Adventure, Classics, Drama, Mystery & Suspense",Rotten,90
"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",Fresh,98
"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",Rotten,14
"Action & Adventure, Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",Fresh,7
"Action & Adventure, Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",Rotten,1
"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance",Fresh,7
"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance",Rotten,2
"Action & Adventure, Classics, Drama, Romance",Fresh,176
"Action & Adventure, Classics, Drama, Romance",Rotten,38
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",Fresh,498
